Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
020388593000,MFS,248528,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797161.63,7057703.798
020388593000,MFS,248530,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797155.71,7057693.15
020388593000,MFS,248532,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797150.3,7057684.6
020388593000,MFS,248534,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797141.69,7057675.314
020388593000,MFS,248536,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797130.62,7057667.463
020388593000,MFS,248538,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797122.74,7057662.405
020388593000,MFS,248540,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797113.06,7057654.997
020388593000,MFS,248542,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797104.37,7057650.065
020388593000,MFS,248544,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797096.21,7057642.451
020388593000,MFS,248546,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797087.23,7057635.941
020388593000,MFS,248548,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797079.38,7057628.875
020388593000,MFS,248550,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797069.12,7057624.503
020388593000,MFS,248552,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797059.16,7057617.118
020388593000,MFS,248554,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797049.28,7057612.822
020388593000,MFS,248556,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797037.92,7057604.934
020388593000,MFS,248558,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797028.24,7057601.566
020388593000,MFS,248560,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797016.4,7057596.427
020388593000,MFS,248562,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11797006.1,7057593.859
020388593000,MFS,248564,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11796997.31,7057589.609
020388593000,MFS,248566,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11796985.46,7057588.155
020388593000,MFS,248568,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11796974.41,7057585.031
020388593000,MFS,248570,8/1/16,STRLNG,CASCADES OVERLOOK LAND CONDO,,STRLNG,1,11796964.21,7057584.076
